Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
HP,Laptop HP 340s G7 36A43PA (Core i5-1035G1/ 8GB/ 256GB/ 14 FHD/ Win10) - Hàng Chính Hãng,14,Intel Core i5,8GB,SSD: 256GB,22390000,15990000,https://tiki.vn/laptop-hp-340s-g7-36a43pa-core-i5-1035g1-8gb-256gb-14-fhd-win10-hang-chinh-hang-p135268243.html?spid=145684128,Tiki
Dell,Laptop Dell Vostro 5515 K4Y9X1 (AMD R5-5500U/ 8GB DDR4/ 512GB SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,15.6,AMD Ryzen 5,8GB,SSD: 512GB,19590000,19590000,https://tiki.vn/laptop-dell-vostro-5515-k4y9x1-amd-r5-5500u-8gb-ddr4-512gb-ssd-15-6-fhd-win10-office-hang-chinh-hang-p140758660.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.140758661&itm_medium=CPC&itm_source=tiki-reco&spid=140758661,Tiki
Acer,"Laptop Acer Aspire 7 A715-42G-R05G (AMD R5-5500U/ 8GB DDR4/ 512GB SSD/ GTX 1650 4GB/ 15.6 FHD IPS, 144Hz/ Win11) - Hàng Chính Hãng",15.6,AMD Ryzen 5,8GB,SSD: 512GB,22490000,16599000,https://tiki.vn/laptop-acer-aspire-7-a715-42g-r05g-amd-r5-5500u-8gb-ddr4-512gb-ssd-gtx-1650-4gb-15-6-fhd-ips-144hz-win11-hang-chinh-hang-p143022294.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.143022296&itm_medium=CPC&itm_source=tiki-reco&spid=143022296,Tiki
Dell,Laptop Dell Latitude 3420 L3420I5SSD (Core i5-1135G7/ 8GB/ 256GB SSD/ 14 HD/ Fedora) - Hàng Chính Hãng,14,Intel Core i5,8GB,SSD: 256GB,22087000,16990000,https://tiki.vn/laptop-dell-latitude-3420-l3420i5ssd--core-i5-1135g7--8gb--256gb-ssd--14-hd--fedora----hang-chinh-hang-p115013249.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.133681167&itm_medium=CPC&itm_source=tiki-reco&spid=133681167,Tiki
Dell,Máy tính xách tay Laptop Dell Latitude 3420 L3420I3SSD (Intel Core i3-1115G4 | 14 Inch HD | RAM 8GB | 256GB SSD NVMe | Intel UHD Graphics | Fedora Os) - Hàng chính hãng,14,Intel Core i3,8GB,SSD: 256GB,16100000,13999000,https://tiki.vn/may-tinh-xach-tay-laptop-dell-latitude-3420-l3420i3ssd-intel-core-i3-1115g4-14-inch-hd-ram-8gb-256gb-ssd-nvme-intel-uhd-graphics-fedora-os-hang-chinh-hang-p113577973.html?spid=113577975,Tiki
Asus,Laptop Asus Vivobook X515EP-EJ268T (Core i5-1135G7/ 8GB DDR4/ 512GB SSD/ MX330 2GB/ 15.6 FHD/ Win10) - Hàng Chính Hãng,15.6,Intel Core i5,8GB,SSD: 512GB,16100000,16100000,https://tiki.vn/laptop-asus-vivobook-x515ep-ej268t-core-i5-1135g7-8gb-ddr4-512gb-ssd-mx330-2gb-15-6-fhd-win10-hang-chinh-hang-p145255116.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.162729411&itm_medium=CPC&itm_source=tiki-reco&spid=162729411,Tiki
Dell,Laptop Dell Vostro 5410 V4I5014W (I5-11300H/8GB/512GB PCIE/14.0FHD/WIN10/XÁM) - Hàng Chính Hãng,14,Intel Core i5,8GB,SSD: 512GB,19590000,19590000,https://tiki.vn/laptop-dell-vostro-5410-v4i5014w-i5-11300h-8gb-512gb-pcie-14-0fhd-win10-xam-hang-chinh-hang-p118248164.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.137134289&itm_medium=CPC&itm_source=tiki-reco&spid=137134289,Tiki
Apple,Apple MacBook Pro M1 PRO 2021 - 16 Inchs (M1 PRO - 16GB / 32GB - 512GB / 1TB) - Hàng Chính Hãng,16,Apple M1 Pro,16GB,SSD: 512GB,59200000,58000000,https://tiki.vn/apple-macbook-pro-m1-pro-2021-16-inchs-m1-pro-16gb-32gb-512gb-1tb-hang-chinh-hang-p144870451.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.144870455&itm_medium=CPC&itm_source=tiki-reco&spid=144870455,Tiki
Dell,Laptop Dell Latitude 3420 L3420I5SSD (Core i5-1135G7/ 8GB/ 256GB SSD/ 14 HD/ Fedora) - Hàng Chính Hãng,14,Intel Core i5,8GB,SSD: 256GB,19000000,18100000,https://tiki.vn/laptop-dell-latitude-3420-l3420i5ssd--core-i5-1135g7--8gb--256gb-ssd--14-hd--fedora----hang-chinh-hang-p115013249.html?spid=141964511,Tiki
Huawei,Laptop HUAWEI MateBook 14 | RAM 16GB/ROM 512GB | Chip AMD Ryzen 5000 | Màn Hình HUAWEI 3:2 Fullview 2K | Nút Ngu<U+1ED3>n Vân Tay | Hàng Chính Hãng,14,AMD Ryzen 5,16GB,SSD: 512GB,21990000,21990000,https://tiki.vn/laptop-huawei-matebook-14-ram-16gb-rom-512gb-chip-amd-ryzen-5000-man-hinh-huawei-3-2-fullview-2k-nut-nguon-van-tay-hang-chinh-hang-p174860521.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.174860523&itm_medium=CPC&itm_source=tiki-reco&spid=174860523,Tiki
