Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
MSI,Laptop MSI Creator Z16 A12UET i7 12700H/16GB/1TB SSD/6GB RTX3060/120Hz/Túi/Chu?t/Win11 (036VN),16,Intel Core i7,16GB,SSD: 1TB,60990000,59990000,https://www.thegioididong.com/laptop/msi-creator-z16-a12uet-i7-036vn?src=osp,TheGioiDiDong
MSI,Laptop MSI Gaming Vector GP66 12UGS i7 12700H/16GB/1TB SSD/8GB RTX3070Ti/165Hz/Balo/Chu?t/Win11 (432VN),15.6,Intel Core i7,16GB,SSD: 1TB,55990000,54990000,https://www.thegioididong.com/laptop/msi-gaming-vector-gp66-12ugs-i7-432vn?src=osp,TheGioiDiDong
MSI,Laptop MSI Gaming Leopard GP76 11UG i7 11800H/16GB/1TB SSD/8GB RTX3070/300Hz/Balo/Chu?t/Win10 (823VN),17.3,Intel Core i7,16GB,SSD: 1TB,52990000,51990000,https://www.thegioididong.com/laptop/msi-gaming-leopard-gp76-11ug-i7-823vn?src=osp,TheGioiDiDong
Asus,Laptop Asus Gaming ROG Flow Z13 GZ301Z i7 12700H/16GB/512GB/4GB RTX3050/120Hz/Touch/Pen/Túi/Win11 (LD110W),13.4,Intel Core i7,16GB,SSD: 512GB,49990000,49490000,https://www.thegioididong.com/laptop/asus-gaming-rog-flow-z13-gz301z-i7-ld110w?src=osp,TheGioiDiDong
Apple,Laptop MacBook Pro 14 M1 Pro 2021 8-core CPU/16GB/512GB/14-core GPU (MKGP3SA/A),14.2,Apple M1 Pro,16GB,SSD: 512GB,52990000,48990000,https://www.thegioididong.com/laptop/macbook-pro-14-m1-pro-2021-8-core-cpu?src=osp,TheGioiDiDong
LG,Laptop LG Gram 17 2021 i7 1165G7/16GB/1TB SSD/Win10 (17Z90P-G.AH78A5),17,Intel Core i7,16GB,SSD: 1TB,54890000,44890000,https://www.thegioididong.com/laptop/lg-gram-17-i7-17z90pgah78a5?src=osp,TheGioiDiDong
HP,Laptop HP EliteBook X360 1040 G8 i7 1165G7/16GB/512GB/Touch/Pen/Win10 Pro (3G1H4PA),14,Intel Core i7,16GB,SSD: 512GB,49590000,44590000,https://www.thegioididong.com/laptop/hp-elitebook-x360-1040-g8-i7-3g1h4pa?src=osp,TheGioiDiDong
LG,Laptop LG Gram 17 2021 i7 1165G7/16GB/512GB/Win10 (17Z90P-G.AH76A5),17,Intel Core i7,16GB,SSD: 512GB,52890000,42890000,https://www.thegioididong.com/laptop/lg-gram-17-i7-17z90pgah76a5?src=osp,TheGioiDiDong
LG,Laptop LG Gram 16 2021 i7 1165G7/16GB/512GB/Win10 (16Z90P-G.AH75A5),16,Intel Core i7,16GB,SSD: 512GB,50890000,40890000,https://www.thegioididong.com/laptop/lg-gram-16-i7-16z90pgah75a5?src=osp,TheGioiDiDong
Microsoft,Laptop Surface Pro 8 i5 1135G7/8GB/256GB/Touch/120Hz/Win11 (DR1-00003),13,Intel Core i5,8GB,SSD: 256GB,38990000,38990000,https://www.thegioididong.com/laptop/surface-pro-8-i5-dr100003?src=osp,TheGioiDiDong
LG,Laptop LG Gram 16 2021 i7 1165G7/16GB/256GB/Win10 (16Z90P-G.AH73A5),16,Intel Core i7,16GB,SSD: 256GB,49890000,38890000,https://www.thegioididong.com/laptop/lg-gram-16-i7-16z90pgah73a5?src=osp,TheGioiDiDong
LG,Laptop LG Gram 14 2021 i7 1165G7/16GB/512GB/Win 10 (14Z90P-G.AH75A5),14,Intel Core i7,16GB,SSD: 512GB,47890000,37890000,https://www.thegioididong.com/laptop/lg-gram-14-i7-14z90pgah75a5?src=osp,TheGioiDiDong
Dell,Laptop Dell XPS 13 9310 i5 1135G7/8GB/512GB/Cáp/Office H&S/Win11 (70273578),13.4,Intel Core i5,8GB,SSD: 512GB,41990000,37790000,https://www.thegioididong.com/laptop/dell-xps-13-9310-i5-70273578?src=osp,TheGioiDiDong
MSI,Laptop MSI Creator M16 A12UC i7 12700H/16GB/512GB/4GB RTX3050/Túi/Chu?t/Win11 (292VN),16,Intel Core i7,16GB,SSD: 512GB,36990000,36990000,https://www.thegioididong.com/laptop/msi-creator-m16-a12uc-i7-292vn?src=osp,TheGioiDiDong
MSI,Laptop MSI Gaming Stealth 15M A11UEK i7 11375H/16GB/512GB/6GB RTX3060 Max-Q/144Hz/Balo/Chu?t/Win10 (254VN),15.6,Intel Core i7,16GB,SSD: 512GB,41990000,36790000,https://www.thegioididong.com/laptop/msi-gaming-stealth-15m-a11uek-i7-254vn?src=osp,TheGioiDiDong
HP,Laptop HP ZBook Firefly 14 G8 i5 1135G7/16GB/512GB/4GB Quadro T500/Win10 Pro (275V5AV),14,Intel Core i5,16GB,SSD: 512GB,39890000,36090000,https://www.thegioididong.com/laptop/hp-zbook-firefly-14-g8-i5-275v5av?src=osp,TheGioiDiDong
Lenovo,Laptop Lenovo Yoga Duet 7 13ITL6 i7 1165G7/16GB/1TB SSD/Touch/Pen/Win10 (82MA003UVN),13,Intel Core i7,16GB,SSD: 1TB,35990000,35990000,https://www.thegioididong.com/laptop/lenovo-yoga-duet-7-13itl6-i7-82ma003uvn?src=osp,TheGioiDiDong
Apple,Laptop Apple MacBook Air M1 2020 16GB/512GB/8-core GPU,13.3,Apple M1,16GB,SSD: 512GB,39990000,35990000,https://www.thegioididong.com/laptop/apple-macbook-air-m1-2020-8-core-gpu?src=osp,TheGioiDiDong
Lenovo,Laptop Lenovo Yoga 9 14ITL5 i7/1185G7/16GB/1TB SSD/Touch/Pen/Win10 (82BG006EVN),14,Intel Core i7,16GB,SSD: 1TB,49990000,34990000,https://www.thegioididong.com/laptop/lenovo-yoga-9-14itl5-i7-82bg006evn?src=osp,TheGioiDiDong
Lenovo,Laptop Lenovo YOGA Slim 7 Carbon 13ITL5 i7 1165G7/16GB/1TB SSD/Win10 (82EV0017VN),13.3,Intel Core i7,16GB,SSD: 1TB,34990000,34990000,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-carbon-13itl5-i7-82ev0017vn?src=osp,TheGioiDiDong
Acer,Laptop Acer Nitro 5 AN515 45 R9SC R7 5800H/8GB/512GB/8GB RTX3070/144Hz/Win10 (NH.QBRSV.001),15.6,AMD Ryzen 7,8GB,SSD: 512GB,39990000,33990000,https://www.thegioididong.com/laptop/acer-nitro-5-an515-45-r9sc-r7-nhqbrsv001?src=osp,TheGioiDiDong
MSI,Laptop MSI Katana GF76 11UE i7 11800H/16GB/512GB/6GB RTX3060/144Hz/Balo/Chu?t/Win11 (450VN),17.3,Intel Core i7,16GB,SSD: 512GB,33490000,33490000,https://www.thegioididong.com/laptop/msi-katana-gf76-11ue-i7-450vn?src=osp,TheGioiDiDong
MSI,Laptop MSI Summit E13 Flip i7 1185G7/16GB/1TB SSD/Touch/Túi/Pen/Win10 (211VN),13.4,Intel Core i7,16GB,SSD: 1TB,37990000,32990000,https://www.thegioididong.com/laptop/msi-summit-e13-flip-i7-211vn?src=osp,TheGioiDiDong
Dell,Laptop Dell Gaming G15 5515 R7 5800H/16GB/512GB/4GB RTX3050Ti/120Hz/OfficeHS/Win11 (70266675),15.6,AMD Ryzen 7,16GB,SSD: 512GB,32990000,32990000,https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r7-70266675?src=osp,TheGioiDiDong
MSI,Laptop MSI Gaming GF65 10UE i7 10750H/16GB/512GB/6GB RTX3060 Max-Q/Balo/Win10 (228VN),15.6,Intel Core i7,16GB,SSD: 512GB,32490000,32490000,https://www.thegioididong.com/laptop/msi-gf65-10ue-i7-228vn?src=osp,TheGioiDiDong
