Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Dell,Laptop Dell Inspiron 15 5510 0WT8R2,15.6,Intel Core i5,8GB,SSD: 256GB,22990000,21990000,https://cellphones.com.vn/laptop-dell-insprion-15-5510-0wt8r2.html,CellphoneS
Asus,Laptop ASUS X509MA-BR270T,15.6,Intel Celeron,4GB,SSD: 256GB,7290000,7290000,https://cellphones.com.vn/laptop-asus-x509ma-br270t.html,CellphoneS
MSI,Laptop MSI Gaming Alpha 15 A4DEK-027VN,15.6,AMD Ryzen 7,8GB,SSD: 512GB,31490000,27590000,https://cellphones.com.vn/laptop-msi-alpha-15-a4dek.html,CellphoneS
Asus,Laptop ASUS X509MA-BR270T,15.6,Intel Celeron,4GB,SSD: 256GB,7290000,7290000,https://cellphones.com.vn/laptop-asus-x509ma-br270t.html,CellphoneS
Dell,Laptop Dell Inspiron 15 5510 0WT8R2,15.6,Intel Core i5,8GB,SSD: 256GB,22990000,21990000,https://cellphones.com.vn/laptop-dell-insprion-15-5510-0wt8r2.html,CellphoneS
Dell,Laptop Dell Inspiron 3511 26F1K,15.6,Intel Core i3,8GB,SSD: 128GB,15990000,14990000,https://cellphones.com.vn/laptop-dell-inspiron-3501-26f1k.html,CellphoneS
Lenovo,Laptop Lenovo Thinkbook 15 G2 ITL ,15.6,Intel Core i7,8GB,SSD: 512GB,21890000,20990000,https://cellphones.com.vn/laptop-lenovo-thinkbook-15-g2-itl-20ve0076vn.html,CellphoneS
Acer,Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP,15.6,Intel Core i5,8GB,SSD: 512GB,27990000,26990000,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-tiger-an515-58-52sp.html,CellphoneS
Asus,Laptop ASUS Gaming ROG Zephyrus G14 GA401QC-HZ032T,14,AMD Ryzen 7,16GB,SSD: 512GB,32990000,31090000,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qc-hz032t.html,CellphoneS
Lenovo,Laptop Lenovo Ideapad 5 15ITL05 82FG00M5VN,15.6,Intel Core i5,8GB,SSD: 512GB,19990000,19190000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-15itl05.html,CellphoneS
Dell,Dell Gaming G15 Ryzen Edition 5515 70266675,15.6,AMD Ryzen 7,16GB,SSD: 512GB,33990000,29490000,https://cellphones.com.vn/laptop-dell-gaming-g15-ryzen-edition-5515-70266675.html,CellphoneS
LG,Laptop LG Gram 2021 17Z90P-G.AH78A5 17 inch,17,Intel Core i7,16GB,SSD: 1TB,54900000,44890000,https://cellphones.com.vn/laptop-lg-gram-17-2021.html,CellphoneS
Asus,Laptop ASUS TUF Dash 15 FX516PM-HN002W,15.6,Intel Core i7,8GB,SSD: 512GB,32990000,28990000,https://cellphones.com.vn/laptop-asus-tuf-gaming-dash-f15-fx516pm-hn002w.html,CellphoneS
Asus,Laptop ASUS VivoBook 15 A515EA ,15.6,Intel Core i3,4GB,SSD: 512GB,15390000,14290000,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ea-i3-ram-4gb.html,CellphoneS
Lenovo,Laptop Lenovo IdeaPad Gaming 3 15IHU6 82K100FBVN,15.6,Intel Core i7,8GB,SSD: 512GB,28490000,26990000,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15ihu6-82k100fbvn.html,CellphoneS
HP,Laptop HP Envy X360 13-BD0530TU 4Y0Y4PA ,13.3,Intel Core i5,8GB,SSD: 512GB,26290000,24990000,https://cellphones.com.vn/laptop-hp-envy-x360-13-bd0530tu-4y0y4pa.html,CellphoneS
Lenovo,Laptop Lenovo IdeaPad 5 Pro 16ACH6,16,AMD Ryzen 7,16GB,SSD: 512GB,27990000,26590000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-16ach6-82l50082vn.html,CellphoneS
HP,Laptop HP 15-EF1300WM,15.6,AMD Ryzen 3,4GB,SSD: 128GB,13990000,11290000,https://cellphones.com.vn/laptop-hp-15-ef1300wm.html,CellphoneS
MSI,Laptop MSI Creator M16 A11UD-694VN,16,Intel Core i7,16GB,SSD: 1TB,39990000,36490000,https://cellphones.com.vn/laptop-msi-creator-m16-a11ud-694vn.html,CellphoneS
Acer,Laptop Gaming Acer Nitro 5 Eagle  AN515-57-74NU NH.QD9SV.001,15.6,Intel Core i7,8GB,SSD: 512GB,29990000,27990000,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-74nu.html,CellphoneS
Lenovo,Laptop Lenovo Yoga Slim 7I PRO 14IUH5,14,Intel Core i7,16GB,SSD: 1TB,35990000,34190000,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-pro-14iuh5-82nh0011vn.html,CellphoneS
MSI,Laptop MSI Gaming Bravo 15 B5DD-027VN ,15.6,AMD Ryzen 5,8GB,SSD: 512GB,21990000,20900000,https://cellphones.com.vn/laptop-msi-bravo-15-b5dd-027vn.html,CellphoneS
Asus,Laptop ASUS VivoBook Flip 14 TM420UA-EC022T,14,AMD Ryzen 5,8GB,SSD: 512GB,18190000,16990000,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tm420ua.html,CellphoneS
