Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Asus,Laptop Asus Zenbook UX325EA-KG658W i7 1165G7/16GB/512GB SSD/13.3''FHD OLED/Win11 - Xám,13.3,Intel Core i7,16GB,SSD: 512GB,29999000,29999000,https://sendo.vn/laptop-asus-zenbook-ux325ea-kg658w-i7-1165g716gb512gb-ssd133fhd-oledwin11-xam-72112284.html,Sendo
Lenovo,"Laptop Lenovo Slim Yoga 7 Carbon 14ACN6 R7 5800U/16GB/1TB SSD/14"" 2.8K/Win 11 - Xám",14,AMD Ryzen 7,16GB,SSD: 1TB,35999000,35999000,https://sendo.vn/laptop-lenovo-slim-yoga-7-carbon-14acn6-r7-5800u16gb1tb-ssd14-28kwin-11-xam-72112283.html,Sendo
HP,"Laptop HP Pavilion 14 dv1033TU/i5 1155G7/8GB/256GB/14""FHD/Win 11 - B<U+1EA1>c",14,Intel Core i5,8GB,SSD: 256GB,18999000,18999000,https://sendo.vn/laptop-hp-pavilion-14-dv1033tui5-1155g78gb256gb14fhdwin-11-bac-71992913.html,Sendo
HP,"Laptop HP Envy x360 13 bd0528TU i7 1165G7/8GB/512GB/13.3""FHD Touch/Bút/Win 11 - Vàng",13.3,Intel Core i7,8GB,SSD: 512GB,30999000,30999000,https://sendo.vn/laptop-hp-envy-x360-13-bd0528tu-i7-1165g78gb512gb133fhd-touchbutwin-11-vang-71988410.html,Sendo
Asus,Laptop Asus TUF Gaming FX506LH-HN188W i5 10300H/8GB/512GB SSD/Nvidia GTX1650 4GB/Win11 - Ðen,15.6,Intel Core i5,8GB,SSD: 512GB,21999000,21999000,https://sendo.vn/laptop-asus-tuf-gaming-fx506lh-hn188w-i5-10300h8gb512gb-ssdnvidia-gtx1650-4gbwin11-den-71988403.html,Sendo
HP,"Laptop HP 15s du1110TU i3 10110U/8GB/512GB SSD/15.6""HD/Win 11 - Vàng",15.6,Intel Core i3,8GB,SSD: 512GB,13899000,13899000,https://sendo.vn/laptop-hp-15s-du1110tu-i3-10110u8gb512gb-ssd156hdwin-11-vang-71973877.html,Sendo
Acer,Laptop Acer Aspire Gaming 7 A715-42G-R4XX R5 5500U/8GB/256GB SSD/Nvidia GTX1650 4GB/Win11 - Ðen,15.6,AMD Ryzen 5,8GB,SSD: 256GB,19999000,19999000,https://sendo.vn/laptop-acer-aspire-gaming-7-a715-42g-r4xx-r5-5500u8gb256gb-ssdnvidia-gtx1650-4gbwin11-den-71847972.html,Sendo
Asus,Laptop Asus Zenbook UX325EA-KG656W i5 1135G7/8GB/512GB SSD/13.3''FHD OLED/Win11 - Xám,13.3,Intel Core i5,8GB,SSD: 512GB,23499000,23499000,https://sendo.vn/laptop-asus-zenbook-ux325ea-kg656w-i5-1135g78gb512gb-ssd133fhd-oledwin11-xam-71763802.html,Sendo
HP,"Laptop HP 15s-du1106TU i3 10110U/4GB/512GB SSD/15.6""HD/Win 11 - B<U+1EA1>c",15.6,Intel Core i3,4GB,SSD: 512GB,12899000,12899000,https://sendo.vn/laptop-hp-15s-du1106tu-i3-10110u4gb512gb-ssd156hdwin-11-bac-71569348.html,Sendo
Asus,Laptop Asus Zenbook UX425EA-KI749W i5 1135G7/8GB/512GB SSD/Win 11 - Xám,14,Intel Core i7,8GB,SSD: 512GB,22999000,22999000,https://sendo.vn/laptop-asus-zenbook-ux425ea-ki749w-i5-1135g78gb512gb-ssdwin-11-xam-71504687.html,Sendo
Lenovo,Laptop Lenovo IdeaPad Slim 3 15ALC6 R3 5300U/8GB/512GB/15.6''FHD/Win 11 - Xám,15.6,AMD Ryzen 3,8GB,SSD: 512GB,14499000,14499000,https://sendo.vn/laptop-lenovo-ideapad-slim-3-15alc6-r3-5300u8gb512gb156fhdwin-11-xam-71487565.html,Sendo
MSI,"Laptop MSI Gaming GF63 10SC 812VN i7 10750H/8GB/512GB/15.6""FHD/GTX 1650 4GB_Win 10 - Ðen",15.6,Intel Core i7,8GB,SSD: 512GB,22999000,22999000,https://sendo.vn/laptop-msi-gaming-gf63-10sc-812vn-i7-10750h8gb512gb156fhdgtx-1650-4gb-win-10-den-71346799.html,Sendo
Lenovo,Laptop Lenovo ThinkBook 15 G2 ITL i5 1135G7/8GB/512GB/15.6”FHD/MX450 2GB/Win 11 - Xám,15.6,Intel Core i5,8GB,SSD: 512GB,23199000,23199000,https://sendo.vn/laptop-lenovo-thinkbook-15-g2-itl-i5-1135g78gb512gb156-fhdmx450-2gbwin-11-xam-71346795.html,Sendo
Dell,"Laptop Dell Inspiron N3501 i5 1135G7/12GB/256GB/15.6""HD/Win 10/NK - Ðen",15.6,Intel Core i5,12GB,SSD: 256GB,17999000,17999000,https://sendo.vn/laptop-dell-inspiron-n3501-i5-1135g712gb256gb156hdwin-10nk-den-71319792.html,Sendo
Asus,Laptop Asus Vivobook A415EA-EB1471W i5 1135G7/8GB/512GB SSD/Win 11 - B<U+1EA1>c,14,Intel Core i5,8GB,SSD: 512GB,18799000,18799000,https://sendo.vn/laptop-asus-vivobook-a415ea-eb1471w-i5-1135g78gb512gb-ssdwin-11-bac-71319791.html,Sendo
Dell,"Laptop Dell Latitude L5420CTO i5 1135G7/8GB/256GB/14""FHD/Win 11 - Xám",14,Intel Core i5,8GB,SSD: 256GB,25999000,25999000,https://sendo.vn/laptop-dell-latitude-l5420cto-i5-1135g78gb256gb14fhdwin-11-xam-71319789.html,Sendo
Dell,"Laptop Dell Vostro V5410 i5 11320H/8GB/512GB/14.0""FHD/Win 11+Office HS21 - Xám",14,Intel Core i5,8GB,SSD: 512GB,23099000,23099000,https://sendo.vn/laptop-dell-vostro-v5410-i5-11320h8gb512gb140fhdwin-11-office-hs21-xam-71290495.html,Sendo
HP,"Laptop HP 240 G8 Pentium N5030/4GB/256GB/14.0""HD/Win 10 - B<U+1EA1>c",14,Intel Pentium,4GB,SSD: 256GB,10999000,10999000,https://sendo.vn/laptop-hp-240-g8-pentium-n50304gb256gb140hdwin-10-bac-70938464.html,Sendo
