ID,Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
406,Gigabyte,Laptop Gigabyte G5 GD-51S1123SH,15.6,Intel Core i5,16GB,SSD: 512GB,26990000,25490000,https://cellphones.com.vn/laptop-gigabyte-g5-gd-51s1123sh.html,CellphoneS
407,Dell,Laptop Dell Alienware M15 R6 70262923,15.6,Intel Core i7,32GB,SSD: 512GB,66490000,64090000,https://cellphones.com.vn/laptop-dell-alienware-m15-r6-70262923.html,CellphoneS
408,MSI,Laptop MSI Summit E16 FLIP A11UCT-030VN,16,Intel Core i7,16GB,SSD: 1TB,46990000,44990000,https://cellphones.com.vn/laptop-msi-summit-e16-flip-a11uct-030vn.html,CellphoneS
409,Lenovo,Laptop Lenovo Thinkpad E490S 20NGS01K00,14,Intel Core i5,8GB,SSD: 256GB,18890000,18890000,https://cellphones.com.vn/laptop-lenovo-thinkpad-e490s.html,CellphoneS
410,MSI,Laptop MSI Gaming GF63 THIN 10SC-020VN,15.6,Intel Core i7,8GB,SSD: 512GB,22990000,20990000,https://cellphones.com.vn/laptop-msi-gaming-gf63-thin-10sc-020vn.html,CellphoneS
411,Acer,Laptop Acer Swift 3 SF313-53-518Y NX.A4JSV.003,13.5,Intel Core i5,16GB,SSD: 512GB,23990000,21490000,https://cellphones.com.vn/laptop-acer-swift-3-sf313-ram-16gb-13-5-inch.html,CellphoneS
412,Lenovo,Laptop Lenovo Ideapad 5 15ALC05 82LN00CEVN,15.6,AMD Ryzen 5,8GB,SSD: 512GB,16790000,15990000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-15alc05-82ln00cevn.html,CellphoneS
413,Lenovo, Laptop Lenovo Ideapad 5 Pro 16ACH6,16,AMD Ryzen 5,8GB,SSD: 512GB,24990000,24990000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-16ach6-82l50097vn.html,CellphoneS
414,Asus,Laptop ASUS VivoBook 14 A515EA-BQ498T,15.6,Intel Core i5,8GB,SSD: 512GB,18990000,17590000,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ea.html,CellphoneS
415,Dell,Laptop Dell Vostro 3510 P112F002BBL,15.6,Intel Core i5,8GB,SSD: 512GB,22990000,21990000,https://cellphones.com.vn/laptop-dell-vostro-3510-p112f002bbl.html,CellphoneS
416,Dell,Laptop Dell Vostro 15 3500 7G3982 ,15.6,Intel Core i7,8GB,SSD: 512GB,24490000,23990000,https://cellphones.com.vn/laptop-dell-vostro-15-3500-7g3982.html,CellphoneS
417,Asus,Laptop Asus Expert Book B5302CEA KG0493W,13.3,Intel Core i5,8GB,SSD: 512GB,23290000,20990000,https://cellphones.com.vn/laptop-asus-expertbook-b5302cea-kg0493w.html,CellphoneS
418,Dell,Laptop Dell Gaming G15 5515 P105F004CGR,15.6,AMD Ryzen 5,8GB,SSD: 256GB,24990000,24990000,https://cellphones.com.vn/laptop-dell-gaming-g15-5515-p105f004cgr.html,CellphoneS
